name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink 
K2-46 b,1465,4.86 Earths,12.144,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3311/k2-46-b/
K2-47 b,1141,4.23 Earths,14.065,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3312/k2-47-b/
K2-48 b,1023,5.65 Earths,14.345,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3313/k2-48-b/
K2-49 b,1491,4.38 Earths,15.668,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3314/k2-49-b/
K2-4 b,756,5.06 Earths,14.855,2015,https://exoplanets.nasa.gov/exoplanet-catalog/4753/k2-4-b/
K2-50 b,840,3.15 Earths,14.705,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3315/k2-50-b/
K2-52 b,3387,144 Jupiters,15.93,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3317/k2-52-b/
K2-53 b,450,7.27 Earths,12.634,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3318/k2-53-b/
K2-54 b,571,1.6 Earths,14.542,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3319/k2-54-b/
K2-55 b,520,14 Earths,13.519,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3320/k2-55-b/
K2-57 b,862,5.06 Earths,14.414,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3321/k2-57-b/
K2-58 b,593,7.65 Earths,12.415,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3322/k2-58-b/
K2-58 c,593,3.26 Earths,12.415,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3323/k2-58-c/
K2-58 d,593,3.57 Earths,12.415,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3324/k2-58-d/
K2-59 b,1016,6.39 Earths,14.266,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3325/k2-59-b/
K2-59 c,1016,5.9 Earths,14.266,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3326/k2-59-c/
K2-5 b,662,4.31 Earths,14.974,2015,https://exoplanets.nasa.gov/exoplanet-catalog/4754/k2-5-b/
K2-5 c,662,5.73 Earths,14.974,2015,https://exoplanets.nasa.gov/exoplanet-catalog/4755/k2-5-c/
K2-60 b,1604,0.426 Jupiters,12.857,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3327/k2-60-b/
K2-61 b,1323,6.71 Earths,13.173,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3328/k2-61-b/
K2-62 b,367,5.22 Earths,12.391,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3329/k2-62-b/
K2-62 c,367,5.22 Earths,12.391,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3330/k2-62-c/
K2-63 b,1688,10.5 Earths,12.98,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3331/k2-63-b/
K2-63 c,1688,14.5 Earths,12.98,2016,https://exoplanets.nasa.gov/exoplanet-catalog/6510/k2-63-c/
K2-64 b,1631,4.94 Earths,14.132,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3332/k2-64-b/
K2-46 b,1465,4.86 Earths,12.144,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3311/k2-46-b/
K2-47 b,1141,4.23 Earths,14.065,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3312/k2-47-b/
K2-48 b,1023,5.65 Earths,14.345,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3313/k2-48-b/
K2-49 b,1491,4.38 Earths,15.668,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3314/k2-49-b/
K2-4 b,756,5.06 Earths,14.855,2015,https://exoplanets.nasa.gov/exoplanet-catalog/4753/k2-4-b/
K2-50 b,840,3.15 Earths,14.705,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3315/k2-50-b/
K2-52 b,3387,144 Jupiters,15.93,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3317/k2-52-b/
K2-53 b,450,7.27 Earths,12.634,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3318/k2-53-b/
K2-54 b,571,1.6 Earths,14.542,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3319/k2-54-b/
K2-55 b,520,14 Earths,13.519,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3320/k2-55-b/
K2-57 b,862,5.06 Earths,14.414,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3321/k2-57-b/
K2-58 b,593,7.65 Earths,12.415,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3322/k2-58-b/
K2-58 c,593,3.26 Earths,12.415,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3323/k2-58-c/
K2-58 d,593,3.57 Earths,12.415,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3324/k2-58-d/
K2-59 b,1016,6.39 Earths,14.266,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3325/k2-59-b/
K2-59 c,1016,5.9 Earths,14.266,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3326/k2-59-c/
K2-5 b,662,4.31 Earths,14.974,2015,https://exoplanets.nasa.gov/exoplanet-catalog/4754/k2-5-b/
K2-5 c,662,5.73 Earths,14.974,2015,https://exoplanets.nasa.gov/exoplanet-catalog/4755/k2-5-c/
K2-60 b,1604,0.426 Jupiters,12.857,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3327/k2-60-b/
K2-61 b,1323,6.71 Earths,13.173,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3328/k2-61-b/
K2-62 b,367,5.22 Earths,12.391,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3329/k2-62-b/
K2-62 c,367,5.22 Earths,12.391,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3330/k2-62-c/
K2-63 b,1688,10.5 Earths,12.98,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3331/k2-63-b/
K2-63 c,1688,14.5 Earths,12.98,2016,https://exoplanets.nasa.gov/exoplanet-catalog/6510/k2-63-c/
K2-64 b,1631,4.94 Earths,14.132,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3332/k2-64-b/
K2-46 b,1465,4.86 Earths,12.144,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3311/k2-46-b/
K2-47 b,1141,4.23 Earths,14.065,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3312/k2-47-b/
K2-48 b,1023,5.65 Earths,14.345,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3313/k2-48-b/
K2-49 b,1491,4.38 Earths,15.668,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3314/k2-49-b/
K2-4 b,756,5.06 Earths,14.855,2015,https://exoplanets.nasa.gov/exoplanet-catalog/4753/k2-4-b/
K2-50 b,840,3.15 Earths,14.705,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3315/k2-50-b/
K2-52 b,3387,144 Jupiters,15.93,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3317/k2-52-b/
K2-53 b,450,7.27 Earths,12.634,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3318/k2-53-b/
K2-54 b,571,1.6 Earths,14.542,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3319/k2-54-b/
K2-55 b,520,14 Earths,13.519,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3320/k2-55-b/
K2-57 b,862,5.06 Earths,14.414,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3321/k2-57-b/
K2-58 b,593,7.65 Earths,12.415,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3322/k2-58-b/
K2-58 c,593,3.26 Earths,12.415,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3323/k2-58-c/
K2-58 d,593,3.57 Earths,12.415,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3324/k2-58-d/
K2-59 b,1016,6.39 Earths,14.266,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3325/k2-59-b/
K2-59 c,1016,5.9 Earths,14.266,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3326/k2-59-c/
K2-5 b,662,4.31 Earths,14.974,2015,https://exoplanets.nasa.gov/exoplanet-catalog/4754/k2-5-b/
K2-5 c,662,5.73 Earths,14.974,2015,https://exoplanets.nasa.gov/exoplanet-catalog/4755/k2-5-c/
K2-60 b,1604,0.426 Jupiters,12.857,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3327/k2-60-b/
K2-61 b,1323,6.71 Earths,13.173,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3328/k2-61-b/
K2-62 b,367,5.22 Earths,12.391,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3329/k2-62-b/
K2-62 c,367,5.22 Earths,12.391,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3330/k2-62-c/
K2-63 b,1688,10.5 Earths,12.98,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3331/k2-63-b/
K2-63 c,1688,14.5 Earths,12.98,2016,https://exoplanets.nasa.gov/exoplanet-catalog/6510/k2-63-c/
K2-64 b,1631,4.94 Earths,14.132,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3332/k2-64-b/
K2-84 c,929,4.78 Earths,13.386,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3359/k2-84-c/
K2-85 b,317,1.87 Earths,12.416,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3360/k2-85-b/
K2-86 b,844,4.5 Earths,13.041,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3361/k2-86-b/
K2-87 b,1602,0.141 Jupiters,14.136,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3362/k2-87-b/
K2-88 b,361,2.04 Earths,15.523,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3363/k2-88-b/
K2-89 b,281,0.17 Earths,14.162,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3364/k2-89-b/
K2-8 b,1316,12.5 Earths,14.801,2015,https://exoplanets.nasa.gov/exoplanet-catalog/4757/k2-8-b/
K2-8 c,1316,6.39 Earths,14.801,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3297/k2-8-c/
K2-90 b,438,7.27 Earths,13.707,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3365/k2-90-b/
K2-90 c,438,2.24 Earths,13.707,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3366/k2-90-c/
K2-91 b,204,1.37 Earths,15.622,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3367/k2-91-b/
K2-95 b,587,11 Earths,17.236,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3378/k2-95-b/
K2-97 b,2865,0.48 Jupiters,12.486,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3497/k2-97-b/
K2-98 b,1692,32.2 Earths,12.216,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3498/k2-98-b/
K2-99 b,1694,0.97 Jupiters,11.149,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3398/k2-99-b/
K2-9 b,271,5.69 Earths,15.86,2015,https://exoplanets.nasa.gov/exoplanet-catalog/4758/k2-9-b/
Kappa Andromedae b,163,13.616 Jupiters,4.13791,2012,https://exoplanets.nasa.gov/exoplanet-catalog/7048/kappa-andromedae-b/
Kappa Coronae Borealis b,98,2 Jupiters,4.79734,2007,https://exoplanets.nasa.gov/exoplanet-catalog/7047/kappa-coronae-borealis-b/
Kapteyn c,13,7 Earths,8.86,2014,https://exoplanets.nasa.gov/exoplanet-catalog/5836/kapteyn-c/
KELT-10 b,615,0.679 Jupiters,10.617,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4337/kelt-10-b/
KELT-11 b,323,0.171 Jupiters,8.04,2017,https://exoplanets.nasa.gov/exoplanet-catalog/3496/kelt-11-b/
KELT-12 b,1201,0.95 Jupiters,10.585,2017,https://exoplanets.nasa.gov/exoplanet-catalog/3493/kelt-12-b/
KELT-14 b,816,1.284 Jupiters,11.001,2016,https://exoplanets.nasa.gov/exoplanet-catalog/1958/kelt-14-b/
KELT-15 b,1059,1.31 Jupiters,11.39,2016,https://exoplanets.nasa.gov/exoplanet-catalog/1959/kelt-15-b/
KELT-16 b,1450,2.75 Jupiters,11.717,2017,https://exoplanets.nasa.gov/exoplanet-catalog/3452/kelt-16-b/
KELT-17 b,739,1.31 Jupiters,9.234,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3385/kelt-17-b/
KELT-18 b,1048,1.18 Jupiters,10.16,2017,https://exoplanets.nasa.gov/exoplanet-catalog/3490/kelt-18-b/
KELT-19 A b,980,4.07 Jupiters,9.857,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7197/kelt-19-a-b/
KELT-1 b,876,27.23 Jupiters,10.632,2012,https://exoplanets.nasa.gov/exoplanet-catalog/1713/kelt-1-b/
KELT-20 b,445,3.382 Jupiters,7.59,2017,https://exoplanets.nasa.gov/exoplanet-catalog/6066/kelt-20-b/
KELT-21 b,1536,3.91 Jupiters,10.484,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6174/kelt-21-b/
KELT-23 A b,412,0.938 Jupiters,10.308,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7418/kelt-23-a-b/
KELT-24 b,315,5.18 Jupiters,8.34,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7472/kelt-24-b/
KELT-2 A b,437,1.7 Jupiters,8.68,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6918/kelt-2-a-b/
KELT-3 b,686,1.94 Jupiters,9.816,2013,https://exoplanets.nasa.gov/exoplanet-catalog/5833/kelt-3-b/
KELT-4 A b,711,0.902 Jupiters,9.98,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7122/kelt-4-a-b/
KELT-6 b,785,0.52 Jupiters,10.371,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1715/kelt-6-b/
KELT-6 c,785,3.71 Jupiters,10.371,2015,https://exoplanets.nasa.gov/exoplanet-catalog/6015/kelt-6-c/
KELT-7 b,446,1.39 Jupiters,8.56,2015,https://exoplanets.nasa.gov/exoplanet-catalog/5519/kelt-7-b/
KELT-8 b,644,0.66 Jupiters,10.845,2015,https://exoplanets.nasa.gov/exoplanet-catalog/6014/kelt-8-b/
KELT-9 b,667,2.88 Jupiters,7.55,2017,https://exoplanets.nasa.gov/exoplanet-catalog/3508/kelt-9-b/
Kepler-1000 b,3639,20.3 Earths,13.23,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5786/kepler-1000-b/
Kepler-1001 b,3030,10.1 Earths,15.582,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5787/kepler-1001-b/
Kepler-1001 c,3030,3.11 Earths,15.582,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7711/kepler-1001-c/
Kepler-1002 b,1332,3.57 Earths,11.821,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5788/kepler-1002-b/
Kepler-1003 b,3072,3.82 Earths,14.132,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5789/kepler-1003-b/
Kepler-1004 b,3760,32.5 Earths,13.705,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5790/kepler-1004-b/
Kepler-1005 b,1852,2.86 Earths,13.371,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5791/kepler-1005-b/
Kepler-1006 b,3529,2.99 Earths,14.467,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5792/kepler-1006-b/
Kepler-1007 b,1191,2.67 Earths,14.981,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5793/kepler-1007-b/
KELT-17 b,739,1.31 Jupiters,9.234,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3385/kelt-17-b/
KELT-18 b,1048,1.18 Jupiters,10.16,2017,https://exoplanets.nasa.gov/exoplanet-catalog/3490/kelt-18-b/
KELT-19 A b,980,4.07 Jupiters,9.857,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7197/kelt-19-a-b/
KELT-1 b,876,27.23 Jupiters,10.632,2012,https://exoplanets.nasa.gov/exoplanet-catalog/1713/kelt-1-b/
KELT-20 b,445,3.382 Jupiters,7.59,2017,https://exoplanets.nasa.gov/exoplanet-catalog/6066/kelt-20-b/
KELT-21 b,1536,3.91 Jupiters,10.484,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6174/kelt-21-b/
KELT-23 A b,412,0.938 Jupiters,10.308,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7418/kelt-23-a-b/
KELT-24 b,315,5.18 Jupiters,8.34,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7472/kelt-24-b/
KELT-2 A b,437,1.7 Jupiters,8.68,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6918/kelt-2-a-b/
KELT-3 b,686,1.94 Jupiters,9.816,2013,https://exoplanets.nasa.gov/exoplanet-catalog/5833/kelt-3-b/
KELT-4 A b,711,0.902 Jupiters,9.98,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7122/kelt-4-a-b/
KELT-6 b,785,0.52 Jupiters,10.371,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1715/kelt-6-b/
KELT-6 c,785,3.71 Jupiters,10.371,2015,https://exoplanets.nasa.gov/exoplanet-catalog/6015/kelt-6-c/
KELT-7 b,446,1.39 Jupiters,8.56,2015,https://exoplanets.nasa.gov/exoplanet-catalog/5519/kelt-7-b/
KELT-8 b,644,0.66 Jupiters,10.845,2015,https://exoplanets.nasa.gov/exoplanet-catalog/6014/kelt-8-b/
KELT-9 b,667,2.88 Jupiters,7.55,2017,https://exoplanets.nasa.gov/exoplanet-catalog/3508/kelt-9-b/
Kepler-1000 b,3639,20.3 Earths,13.23,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5786/kepler-1000-b/
Kepler-1001 b,3030,10.1 Earths,15.582,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5787/kepler-1001-b/
Kepler-1001 c,3030,3.11 Earths,15.582,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7711/kepler-1001-c/
Kepler-1002 b,1332,3.57 Earths,11.821,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5788/kepler-1002-b/
Kepler-1003 b,3072,3.82 Earths,14.132,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5789/kepler-1003-b/
Kepler-1004 b,3760,32.5 Earths,13.705,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5790/kepler-1004-b/
Kepler-1005 b,1852,2.86 Earths,13.371,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5791/kepler-1005-b/
Kepler-1006 b,3529,2.99 Earths,14.467,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5792/kepler-1006-b/
Kepler-1007 b,1191,2.67 Earths,14.981,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5793/kepler-1007-b/
KELT-17 b,739,1.31 Jupiters,9.234,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3385/kelt-17-b/
KELT-18 b,1048,1.18 Jupiters,10.16,2017,https://exoplanets.nasa.gov/exoplanet-catalog/3490/kelt-18-b/
KELT-19 A b,980,4.07 Jupiters,9.857,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7197/kelt-19-a-b/
KELT-1 b,876,27.23 Jupiters,10.632,2012,https://exoplanets.nasa.gov/exoplanet-catalog/1713/kelt-1-b/
KELT-20 b,445,3.382 Jupiters,7.59,2017,https://exoplanets.nasa.gov/exoplanet-catalog/6066/kelt-20-b/
KELT-21 b,1536,3.91 Jupiters,10.484,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6174/kelt-21-b/
KELT-23 A b,412,0.938 Jupiters,10.308,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7418/kelt-23-a-b/
KELT-24 b,315,5.18 Jupiters,8.34,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7472/kelt-24-b/
KELT-2 A b,437,1.7 Jupiters,8.68,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6918/kelt-2-a-b/
KELT-3 b,686,1.94 Jupiters,9.816,2013,https://exoplanets.nasa.gov/exoplanet-catalog/5833/kelt-3-b/
KELT-4 A b,711,0.902 Jupiters,9.98,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7122/kelt-4-a-b/
KELT-6 b,785,0.52 Jupiters,10.371,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1715/kelt-6-b/
KELT-6 c,785,3.71 Jupiters,10.371,2015,https://exoplanets.nasa.gov/exoplanet-catalog/6015/kelt-6-c/
KELT-7 b,446,1.39 Jupiters,8.56,2015,https://exoplanets.nasa.gov/exoplanet-catalog/5519/kelt-7-b/
KELT-8 b,644,0.66 Jupiters,10.845,2015,https://exoplanets.nasa.gov/exoplanet-catalog/6014/kelt-8-b/
KELT-9 b,667,2.88 Jupiters,7.55,2017,https://exoplanets.nasa.gov/exoplanet-catalog/3508/kelt-9-b/
Kepler-1000 b,3639,20.3 Earths,13.23,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5786/kepler-1000-b/
Kepler-1001 b,3030,10.1 Earths,15.582,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5787/kepler-1001-b/
Kepler-1001 c,3030,3.11 Earths,15.582,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7711/kepler-1001-c/
Kepler-1002 b,1332,3.57 Earths,11.821,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5788/kepler-1002-b/
Kepler-1003 b,3072,3.82 Earths,14.132,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5789/kepler-1003-b/
Kepler-1004 b,3760,32.5 Earths,13.705,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5790/kepler-1004-b/
Kepler-1005 b,1852,2.86 Earths,13.371,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5791/kepler-1005-b/
Kepler-1006 b,3529,2.99 Earths,14.467,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5792/kepler-1006-b/
Kepler-1007 b,1191,2.67 Earths,14.981,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5793/kepler-1007-b/
KELT-17 b,739,1.31 Jupiters,9.234,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3385/kelt-17-b/
KELT-18 b,1048,1.18 Jupiters,10.16,2017,https://exoplanets.nasa.gov/exoplanet-catalog/3490/kelt-18-b/
KELT-19 A b,980,4.07 Jupiters,9.857,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7197/kelt-19-a-b/
KELT-1 b,876,27.23 Jupiters,10.632,2012,https://exoplanets.nasa.gov/exoplanet-catalog/1713/kelt-1-b/
KELT-20 b,445,3.382 Jupiters,7.59,2017,https://exoplanets.nasa.gov/exoplanet-catalog/6066/kelt-20-b/
KELT-21 b,1536,3.91 Jupiters,10.484,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6174/kelt-21-b/
KELT-23 A b,412,0.938 Jupiters,10.308,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7418/kelt-23-a-b/
KELT-24 b,315,5.18 Jupiters,8.34,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7472/kelt-24-b/
KELT-2 A b,437,1.7 Jupiters,8.68,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6918/kelt-2-a-b/
KELT-3 b,686,1.94 Jupiters,9.816,2013,https://exoplanets.nasa.gov/exoplanet-catalog/5833/kelt-3-b/
KELT-4 A b,711,0.902 Jupiters,9.98,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7122/kelt-4-a-b/
KELT-6 b,785,0.52 Jupiters,10.371,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1715/kelt-6-b/
KELT-6 c,785,3.71 Jupiters,10.371,2015,https://exoplanets.nasa.gov/exoplanet-catalog/6015/kelt-6-c/
KELT-7 b,446,1.39 Jupiters,8.56,2015,https://exoplanets.nasa.gov/exoplanet-catalog/5519/kelt-7-b/
KELT-8 b,644,0.66 Jupiters,10.845,2015,https://exoplanets.nasa.gov/exoplanet-catalog/6014/kelt-8-b/
KELT-9 b,667,2.88 Jupiters,7.55,2017,https://exoplanets.nasa.gov/exoplanet-catalog/3508/kelt-9-b/
Kepler-1000 b,3639,20.3 Earths,13.23,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5786/kepler-1000-b/
Kepler-1001 b,3030,10.1 Earths,15.582,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5787/kepler-1001-b/
Kepler-1001 c,3030,3.11 Earths,15.582,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7711/kepler-1001-c/
Kepler-1002 b,1332,3.57 Earths,11.821,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5788/kepler-1002-b/
Kepler-1003 b,3072,3.82 Earths,14.132,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5789/kepler-1003-b/
Kepler-1004 b,3760,32.5 Earths,13.705,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5790/kepler-1004-b/
Kepler-1005 b,1852,2.86 Earths,13.371,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5791/kepler-1005-b/
Kepler-1006 b,3529,2.99 Earths,14.467,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5792/kepler-1006-b/
Kepler-1007 b,1191,2.67 Earths,14.981,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5793/kepler-1007-b/
KELT-17 b,739,1.31 Jupiters,9.234,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3385/kelt-17-b/
KELT-18 b,1048,1.18 Jupiters,10.16,2017,https://exoplanets.nasa.gov/exoplanet-catalog/3490/kelt-18-b/
KELT-19 A b,980,4.07 Jupiters,9.857,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7197/kelt-19-a-b/
KELT-1 b,876,27.23 Jupiters,10.632,2012,https://exoplanets.nasa.gov/exoplanet-catalog/1713/kelt-1-b/
KELT-20 b,445,3.382 Jupiters,7.59,2017,https://exoplanets.nasa.gov/exoplanet-catalog/6066/kelt-20-b/
KELT-21 b,1536,3.91 Jupiters,10.484,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6174/kelt-21-b/
KELT-23 A b,412,0.938 Jupiters,10.308,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7418/kelt-23-a-b/
KELT-24 b,315,5.18 Jupiters,8.34,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7472/kelt-24-b/
KELT-2 A b,437,1.7 Jupiters,8.68,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6918/kelt-2-a-b/
KELT-3 b,686,1.94 Jupiters,9.816,2013,https://exoplanets.nasa.gov/exoplanet-catalog/5833/kelt-3-b/
KELT-4 A b,711,0.902 Jupiters,9.98,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7122/kelt-4-a-b/
KELT-6 b,785,0.52 Jupiters,10.371,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1715/kelt-6-b/
KELT-6 c,785,3.71 Jupiters,10.371,2015,https://exoplanets.nasa.gov/exoplanet-catalog/6015/kelt-6-c/
KELT-7 b,446,1.39 Jupiters,8.56,2015,https://exoplanets.nasa.gov/exoplanet-catalog/5519/kelt-7-b/
KELT-8 b,644,0.66 Jupiters,10.845,2015,https://exoplanets.nasa.gov/exoplanet-catalog/6014/kelt-8-b/
KELT-9 b,667,2.88 Jupiters,7.55,2017,https://exoplanets.nasa.gov/exoplanet-catalog/3508/kelt-9-b/
Kepler-1000 b,3639,20.3 Earths,13.23,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5786/kepler-1000-b/
Kepler-1001 b,3030,10.1 Earths,15.582,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5787/kepler-1001-b/
Kepler-1001 c,3030,3.11 Earths,15.582,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7711/kepler-1001-c/
Kepler-1002 b,1332,3.57 Earths,11.821,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5788/kepler-1002-b/
